,N,exovarsize,dovar,seed,method,time,query_time,size
0,6,6,0,1234,CVE,3.8533999999999997,3.8388,0.0
1,6,6,0,1234,CCVE,195.10840000000002,98.4061,0.0
2,6,6,0,1234,CCALP,212.12359999999998,208.5949,0.0
3,6,6,0,1234,CCALPeps,435.45680000000004,432.0835,6.00001499895253e-06
4,7,6,0,1234,CVE,8.112300000000001,8.0961,0.0
5,7,6,0,1234,CCVE,inf,inf,
6,7,6,0,1234,CCALP,,,
7,7,6,0,1234,CCALPeps,,,
8,8,6,0,1234,CVE,,,
9,8,6,0,1234,CCVE,,,
10,8,6,0,1234,CCALP,,,
11,8,6,0,1234,CCALPeps,,,
12,9,6,0,1234,CVE,,,
13,9,6,0,1234,CCVE,,,
14,9,6,0,1234,CCALP,,,
15,9,6,0,1234,CCALPeps,,,
16,10,6,0,1234,CVE,,,
17,10,6,0,1234,CCVE,,,
18,10,6,0,1234,CCALP,,,
19,10,6,0,1234,CCALPeps,,,
20,11,6,0,1234,CVE,,,
21,11,6,0,1234,CCVE,,,
22,11,6,0,1234,CCALP,,,
23,11,6,0,1234,CCALPeps,,,
24,12,6,0,1234,CVE,,,
25,12,6,0,1234,CCVE,,,
26,12,6,0,1234,CCALP,,,
27,12,6,0,1234,CCALPeps,,,
28,13,6,0,1234,CVE,,,
29,13,6,0,1234,CCVE,,,
30,13,6,0,1234,CCALP,,,
31,13,6,0,1234,CCALPeps,,,
32,14,6,0,1234,CVE,,,
33,14,6,0,1234,CCVE,,,
34,14,6,0,1234,CCALP,,,
35,14,6,0,1234,CCALPeps,,,
